id,processor_name,user_rating,value,avg_bench,memory_pts,core_pts,mkt_share,age_months,price
64,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
65,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
66,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
67,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
68,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
69,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
70,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
72,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
73,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
74,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
76,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
77,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
79,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
80,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
81,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
82,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
83,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
84,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
86,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
87,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
88,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
89,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
91,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
93,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
96,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
97,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
99,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
100,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
101,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
102,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
103,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
104,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
105,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
106,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
109,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
110,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
111,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
112,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
113,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
114,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
115,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
116,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
117,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
118,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
119,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
120,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
122,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
123,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
124,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
126,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
127,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
129,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
130,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
131,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
132,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
133,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
134,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
136,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
137,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
138,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
139,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
141,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
142,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
146,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
147,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
149,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
150,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
151,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
152,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
153,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
154,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
155,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
156,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
159,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
160,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
161,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
162,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
163,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
164,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
165,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
166,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
167,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
168,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
169,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
170,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
172,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
173,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
174,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
176,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
177,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
179,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
180,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
181,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
182,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
183,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
184,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
186,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
187,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
188,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
189,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
191,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
192,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
196,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
197,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
199,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
200,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
201,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
202,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
203,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
204,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
205,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
206,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
209,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
210,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
211,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
212,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
213,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
214,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
215,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
216,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
217,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
218,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
219,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
220,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
222,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
223,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
224,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
226,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
227,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
229,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
230,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
231,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
232,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
233,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
234,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
236,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
237,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
238,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
239,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
241,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
242,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
246,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
247,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
249,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
250,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
251,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
252,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
253,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
254,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
255,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
256,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
259,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
260,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
261,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
262,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
263,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
264,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
265,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
266,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
267,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
268,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
269,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
270,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
272,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
273,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
274,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
276,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
277,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
279,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
280,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
281,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
282,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
283,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
284,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
286,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
287,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
288,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
289,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
291,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
292,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
296,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
297,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
299,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
300,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
301,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
302,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
303,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
304,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
305,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
306,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
309,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
310,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
311,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
312,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
313,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
314,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
315,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
316,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
317,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
318,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
319,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
320,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
322,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
323,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
324,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
326,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
327,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
329,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
330,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
331,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
332,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
333,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
334,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
336,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
337,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
338,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
339,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
341,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
342,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
346,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
347,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
349,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
350,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
351,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
352,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
353,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
354,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
355,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
356,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
359,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
360,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
361,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
362,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
363,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
364,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
365,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
366,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
367,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
368,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
369,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
370,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
372,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
373,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
374,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
376,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
377,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
379,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
380,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
381,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
382,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
383,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
384,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
386,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
387,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
388,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
389,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
391,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
392,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
396,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
397,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
399,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
400,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
401,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
402,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
403,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
404,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
405,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
406,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
409,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
410,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
411,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
412,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
413,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
414,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
415,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
416,Intel Core i5-11400F,90,11.0,101,86.7,847,0.77,25,130.0
417,Intel Core i5-11400,90,11.0,101,86.1,852,0.36,25,133.0
418,Intel Core i7-12700K,90,11.0,123,81.7,1407,1.14,18,280.0
419,Intel Core i5-13400F,90,11.0,109,83.5,1139,0.18,4,205.0
420,Intel Core i3-12100,90,11.0,99,82.7,800,0.05,16,132.0
422,Intel Core i3-10100,89,10.0,86,85.3,596,0.19,36,110.0
423,Intel Core i7-10700K,89,98.0,104,91.1,969,0.81,36,260.0
424,Intel Core i5-10400F,89,11.0,92,89.6,715,1.3,36,103.0
426,Intel Core i3-10100F,89,11.0,87,87.7,588,0.31,30,66.0
427,Intel Core i5-10600KF,88,10.0,100,90.7,818,0.18,33,176.0
429,Intel Core i3-9100F,86,10.0,86,88.0,423,0.4,49,120.0
430,Intel Core i5-9400F,86,10.0,91,87.8,589,1.33,51,128.0
431,Intel Core i5-10400,86,10.0,91,86.6,722,0.63,36,125.0
432,Intel Core i3-13100F,86,11.0,102,83.2,832,0.02,4,130.0
433,Intel Core i9-9900K,85,93.0,104,93.1,981,1.17,54,330.0
434,Intel Core i7-7700K,84,82.0,92,89.9,634,1.09,76,299.0
436,Intel Core i9-12900K,83,10.0,124,80.8,1516,0.67,18,396.0
437,Intel Core i5-13500,83,11.0,116,84.3,1293,0.12,4,248.0
438,Intel Core i5-9600KF,82,10.0,102,91.4,686,0.28,48,175.0
439,Intel Core i7-8700K,81,88.0,100,90.1,770,1.41,67,281.0
441,Intel Core i7-6700K,78,85.0,90,88.6,597,0.96,93,223.0
442,Intel Core i5-8600K,78,91.0,101,90.1,656,0.48,67,265.0
446,Intel Core i9-11900K,75,99.0,112,87.8,1105,0.42,25,313.0
447,Intel Core i7-2600K,75,85.0,83,87.0,424,0.23,148,140.0
449,Intel Core i5-6600K,74,86.0,85,83.3,373,0.48,93,143.0
450,Intel Core i5-7600K,74,87.0,89,85.4,403,0.31,76,166.0
451,Intel Core i5-13600K,100,11.0,127,83.9,1457,0.68,6,305.0
452,Intel Core i5-12600K,99,11.0,116,81.1,1219,0.74,18,234.0
453,Intel Core i3-12100F,97,126.0,100,84.1,796,0.2,16,96.0
454,Intel Core i5-12400F,96,11.0,105,82.0,972,1.27,16,161.0
455,Intel Core i7-13700K,95,11.0,131,85.2,1661,1.08,6,400.0
456,Intel Core i9-13900K,95,10.0,134,85.2,1738,1.16,6,550.0
459,Intel Core i5-13600KF,94,122.0,128,84.4,1452,0.67,6,280.0
460,Intel Core i7-11700K,92,10.0,110,87.6,1060,0.66,26,262.0
461,Intel Core i5-12400,92,11.0,105,81.9,973,0.44,16,175.0
462,Intel Core i7-9700K,91,92.0,105,90.9,964,1.45,54,330.0
463,Intel Core i5-11600K,91,11.0,107,88.4,935,0.32,25,186.0
464,Intel Core i5-9600K,90,97.0,103,91.0,688,1.0,54,240.0
465,Intel Core i5-10600K,90,10.0,100,90.5,825,0.33,36,160.0
